username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
___frisk___;23/08/2014 15:05;0;1;also I was diagnosed with bruxism like last year and I just found out that symptoms are depression and anxiety oh;;;;5.03E+17;https://twitter.com/___frisk___/status/503075474130485248
___quesoqueen;11/03/2016 12:30;0;0;I take Xanax because I was diagnosed with severe anxiety so if you have anything negative to say about it is like to see you live my life..;;;;7.08E+17;https://twitter.com/___quesoqueen/status/708147959448346628
__arthoe;25/08/2016 06:55;3;12;Me:  I was diagnosed with anxiety when I wa- Guy: yeah, I don't really buy into that stuff Me: pic.twitter.com/LJC0hni1Ca;;;;7.69E+17;https://twitter.com/__arthoe/status/768582638470856704
__arthoe;12/07/2016 01:43;0;0;@boricuabrujita adhd isn't the only reason kids go on medication. I was diagnosed with anxiety and depression at 7 and 12, without meds I;;@boricuabrujita;;7.53E+17;https://twitter.com/__arthoe/status/752559019844403201
__BRXKEN_;13/06/2014 10:16;0;0;4. I was diagnosed with anxiety when I was 10;;;;4.77E+17;https://twitter.com/__BRXKEN_/status/477273233410912258
__hannahnicole;11/10/2016 05:39;0;0;@chrisbadley I was diagnosed with mixed anxiety and mood disorder but struggle mainly with anxiety and panic attacks;;@chrisbadley;;7.86E+17;https://twitter.com/__hannahnicole/status/785595586602991616
__limitlesss;07/10/2016 20:49;0;0;Never dealt with depression but I was diagnosed with anxiety a long time ago. Runs in my fam. It's tough to deal with.;;;;7.84E+17;https://twitter.com/__limitlesss/status/784375084211376128
__lisetteorozco;06/09/2016 12:27;2;0;I had an anxiety attack when I was diagnosed with anxiety . The struggle;;;;7.73E+17;https://twitter.com/__lisetteorozco/status/773014750191943680
__LyfeQuotes_;30/11/2015 14:52;0;0;@edtertaining The past few weeks I was diagnosed with Anxiety and Depression. And I've lately been feeling Worthless. If u see this, advice?;;@edtertaining;;6.71E+17;https://twitter.com/__LyfeQuotes_/status/671220127854129152
__naudia;26/04/2015 11:20;0;0;@NameIsGeo I honestly dont feel like my depression summary is as true as my anxiety summary i was diagnosed with both but the doctor said;;@NameIsGeo;;5.92E+17;https://twitter.com/__naudia/status/592166259573260289
__NeCole;31/05/2016 07:27;0;0;I was diagnosed with depression and anxiety in like 9th grade Wasn't taking my medicine like I was suppose to It had got worse;;;;7.37E+17;https://twitter.com/__NeCole/status/737425137666904066
__rachelrogers;10/10/2016 22:22;2;16;A year ago this week I was diagnosed with GAD, health anxiety & panic attacks. A year on & I have come SO FAR. #WorldMentalHealthDay;;;#worldmentalhealthday;7.85E+17;https://twitter.com/__rachelrogers/status/785485655715483648
__rachelrogers;16/09/2016 03:51;0;3;@hannahrainey_ Since I was diagnosed with GAD and Health Anxiety I have experienced bouts of very low moods.its affected it so much #TalkMH;;@hannahrainey_;#talkmh;7.77E+17;https://twitter.com/__rachelrogers/status/776508709275066368
_acciocoffee;17/07/2016 23:49;0;2;4. I was diagnosed with Social Anxiety Disorder w/ Obsessive Compulsive tendencies. I'm 6 years medication free.;;;;7.55E+17;https://twitter.com/_acciocoffee/status/754704504205946880
_Always_Here_4U;21/01/2015 13:06;1;0;I was diagnosed with severe #depression and #anxiety & its really hard i know. But i believe in you. You can make it. One day at a time.;;;#depression #anxiety;5.58E+17;https://twitter.com/_Always_Here_4U/status/557766157063962624
_Always_Here_4U;11/01/2015 08:35;0;0;I'm getting #stronger everyday. I've had #depression since i was basically 13. I am diagnosed with both depressionand #anxiety .;;;#stronger #depression #anxiety;5.54E+17;https://twitter.com/_Always_Here_4U/status/554074199292387328
_Ang20;17/09/2014 07:35;0;0;So I was diagnosed with anxiety this is gunna be a great school year;;;;5.12E+17;https://twitter.com/_Ang20/status/512022054473048064
_AshleyStory;01/05/2016 02:37;1;3;Mental illness talk: In 2013 I was diagnosed with dysthymia, agoraphobia, and severe anxiety .;;;;7.26E+17;https://twitter.com/_AshleyStory/status/726480639281664000
_author878;23/12/2015 23:53;1;0;#Sheffield I didn't use gp much until I was diagnosed with epilepsy/pcos aged18/19 now kerataconus/ anxiety I need it so I want it gud4every1;;;#sheffield;6.80E+17;https://twitter.com/_author878/status/679691198580264960
_CallMeRachel_;09/04/2014 08:35;0;6;It's been a year since I was diagnosed with anxiety disorder.;;;;4.54E+17;https://twitter.com/_CallMeRachel_/status/453692703331467265
