username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
politikcat;16/11/2016 00:31;0;0;@politikcat years later, I was diagnosed with severe, life-threatening #autoimmune disorders, #BPD , social #anxiety and #PTSD .;;@politikcat;#autoimmune #bpd #anxiety #ptsd;7.99E+17;https://twitter.com/politikcat/status/798564018332061697
rredrobins;15/11/2016 20:25;0;0;last time i was there a doctor asked me if and how i self-harm in front of everyone purely bc she saw that i was diagnosed with bpd so :)));;;;7.99E+17;https://twitter.com/rredrobins/status/798502165157445632
bpd_orchid;12/11/2016 19:57;0;2;http:// bpdorchid.blogspot.co.uk/2016/11/i-am-s ame-person-as-i-was-beforeor-am-i.html  I am the same person as I was before I was diagnosed with #BPD , or am I?;;;#bpd;7.97E+17;https://twitter.com/bpd_orchid/status/797407857352331268
IntimateEyeInc;10/11/2016 05:56;0;0;@IAmJeffEmmerson @AllenFrancesMD I was  diagnosed with ADHD, BPD , GAD, PTSD, and Panic disorder through a question list;;@IAmJeffEmmerson @AllenFrancesMD;;7.96E+17;https://twitter.com/IntimateEyeInc/status/796471514392621056
gruesomegrl;10/11/2016 04:46;0;0;I got diagnosed with BPD when I was 18, too. It's a...  Thank you so much! https:// curiouscat.me/gruesomegrl/po st/42259816 ;;;;7.96E+17;https://twitter.com/gruesomegrl/status/796453809107193857
Rosieamory;08/11/2016 14:25;0;0;@murdermygayass that's what happened to me before i was diagnosed with bpd;Irving, TX;@murdermygayass;;7.96E+17;https://twitter.com/Rosieamory/status/795874771334549504
TheBarkingTiger;06/11/2016 16:48;0;0;@TheBarkingTiger I was diagnosed with BPD ...but you said before that I was just fine right?;Paramus, NJ;@TheBarkingTiger;;7.95E+17;https://twitter.com/TheBarkingTiger/status/795186119398789120
tessa_dawn;05/11/2016 03:50;0;0;@Danidinger @NevSchulman The same thing happened to me. I do have anxiety/depression, but I was just diagnosed with BPD only bc I pushed it;;@Danidinger @NevSchulman;;7.95E+17;https://twitter.com/tessa_dawn/status/794627970191212544
LilySeabreeze;02/11/2016 23:26;11;9;I was recently diagnosed with bpd , bipolar, & clinical depression. I need your help to survive until my new job. URL gofundme.com/help-nikki-and -lily-make-it-through-2ubwckw8  pic.twitter.com/w5tecfKukj;;;;7.94E+17;https://twitter.com/LilySeabreeze/status/793836788766781440
STARCHILD0920;02/11/2016 18:26;0;1;@Ihatethisugh1 before being diagnosed... With severest form of BPD ? I thought i was NEVER EVRR gonna be able to hold a conversation wanyone;;@Ihatethisugh1;;7.94E+17;https://twitter.com/STARCHILD0920/status/793761274748293121
