username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
summerbreeanne;18/11/2016 22:36;0;0;I was diagnosed with bipolar , but my depression doesn't count.;;;;8.00E+17;https://twitter.com/summerbreeanne/status/799622277000232960
Demolarsarah;18/11/2016 13:21;0;0;#aleppo I when to school to be a hairdresser and start a life, but at 20 I was diagnosed with bipolar and had to stop everything again.;;;#aleppo;7.99E+17;https://twitter.com/Demolarsarah/status/799482519582146560
Bipolar_Bandit;18/11/2016 09:38;0;0;When I Was Diagnosed With Bipolar Disorder, People Thought I Was Cursed... http:// fb.me/XuavZfSN;;;;7.99E+17;https://twitter.com/Bipolar_Bandit/status/799426408460222464
Basseyworld;18/11/2016 02:18;2;1;A1. I was diagnosed with bipolar 2 disorder in 2004. I've told the story a million times but I didn't really mean to be an advocate @bintiM;;@bintiM;;7.99E+17;https://twitter.com/Basseyworld/status/799315714079342592
JamieLynnU;18/11/2016 01:51;0;1; I was diagnosed with a mild form of schizophrenia  Bipolar disorder & generalized anxiety for me *fist bumps* just made my day;;;;7.99E+17;https://twitter.com/JamieLynnU/status/799309088651935744
bipolar4good;17/11/2016 11:09;0;1;"@SheilaHamilton Hi Sheila, thanks for the follow! I saw you at Powell's Books; read your book. I was diagnosed with bp2 in 1994. Wild ride.";;@SheilaHamilton;;7.99E+17;https://twitter.com/bipolar4good/status/799086922320576512
ArtistSomeday;17/11/2016 03:39;0;0;@Uptomyknees You are amazing, I was diagnosed with bipolar type II in 2014 and I'm still struggling to work with it. How do you do it?;Kankakee, IL;@Uptomyknees;;7.99E+17;https://twitter.com/ArtistSomeday/status/798973843331223552
_tamiramia;16/11/2016 23:42;0;4;I was diagnosed with bipolar disorder;;;;7.99E+17;https://twitter.com/_tamiramia/status/798914056367308800
JINXIE;16/11/2016 08:50;0;0;Don't get me wrong. Since I was diagnosed with bipolar 1 my mum and dad have been supportive in many ways but to... http:// fb.me/K12kKdH6;;;;7.99E+17;https://twitter.com/JINXIE/status/798689577414193152
drewheineman;15/11/2016 08:10;0;0;I received 9 rejections all with the same response. I was rejected due to bipolar disorder. Even though I had never been diagnosed with it.;;;;7.98E+17;https://twitter.com/drewheineman/status/798317206887157761
ceddyleclair;14/11/2016 06:20;1;1;@heylandsberg Thanks for all your tweets and info. I was recently diagnosed with bipolar disorder 1 and I just take it one day at a time.;;@heylandsberg;;7.98E+17;https://twitter.com/ceddyleclair/status/797927077035048960
Ritz_Tweeting;12/11/2016 08:27;0;0;@TheBeastcub I was diagnosed with bipolar 2 years ago and it explained a lot, meds made a world of difference for me;Colorado, USA;@TheBeastcub;;7.97E+17;https://twitter.com/Ritz_Tweeting/status/797234291176566788
CourtneyDePatz;11/11/2016 06:58;0;0;Today I was officially diagnosed with bipolar disorder. In a sense, this pretty much means my URL instagram.com/p/BMpbCrxAYUu/;;;;7.97E+17;https://twitter.com/CourtneyDePatz/status/796849453156171776
Lucylastic_;10/11/2016 04:58;0;1;@PNDandMe @MerylORourke I was diagnosed with bipolar 4 years before having A.;;@PNDandMe @MerylORourke;;7.96E+17;https://twitter.com/Lucylastic_/status/796456903282933762
charLBBH;10/11/2016 00:39;0;1;i had to sign a form when i was diagnosed with bipolar disorder saying i could never run for president. i could do better than trump though;;;;7.96E+17;https://twitter.com/charLBBH/status/796391703070375936
hamburgerphone;09/11/2016 16:24;9;43;i was diagnosed with bipolar-ocd this morning, and this is our president's entire plan for mental heath. it's fucking nothing. pic.twitter.com/Vs8rxCiJzK;;;;7.96E+17;https://twitter.com/hamburgerphone/status/796267164831391744
fmmshotme;09/11/2016 12:40;0;0;"Come to Think of It, This Same Month, Last Year; I Was Diagnosed with BiPolar Disorder.";Perth Amboy, NJ;;;7.96E+17;https://twitter.com/fmmshotme/status/796210841913794560
Alc43my;09/11/2016 01:32;0;2;today, I was officially diagnosed with bipolar disorder. I'm starting new medication tonight. I am choosing twitter to be vocal about this.;;;;7.96E+17;https://twitter.com/Alc43my/status/796042692274753536
