DiagnosisType           BPD  anxiety  bipolar  depression  ptsd  seasonal_depression
mentions                                                          
anxiety                  39     2949      133         667   173          0
bipolar                 625      170     4299         159   100          5
major_depression          4       53       14          81    14          0
pmdd                      0        1        2           0     0          0
ptsd                     28      128       46          77  1816          0
schizophrenia             0        0        0           0     0          0
seasonal                  0        2        1           4     1          19
situational_depression    0        1        0           4     0          0

