"username","text"
"___ethvn","reached a new low - I was diagnosed with clinical depression and generalised anxiety disorder in MY OWN DREAM last night"
"plmx1","Yes I WAS diagnosed with depression , anxiety at the age of 10 it's not something that goes away nor people should joke about having it pic.twitter.com/nsvUwUrkaR"
"sugarstrike","@sugarstrike (tw: mental health) I was also diagnosed with depression and anxiety a few days after I left for my hiatus so I've been"
"NikkiJayTheBoss","I've been diagnosed with sever depression and anxiety since I was 15, if it was my choice I would be a happy ass mf 25/8 but it's not. https:// twitter.com/tashgordy/stat us/800401708518141952 "
"Lobokicksazz","@SheSnapsGaming thank you for this. I was diagnosed with depression and anxiety. Every day is a battle. Much respect and love Jess"
"FrankReyna_MUA","2 years ago around this time, I was diagnosed with severe panic disorder, general anxiety and depression and I had a mental breakdown"
"kristynic_","@britneyandbaby thanks for sharing your story. I was diagnosed with anxiety at the age of 4 & depression about 10 years ago. I love you"
"twes_92","Mental illness is so real. I didn't understand it until I was diagnosed with Anxiety. One of my best friends was diagnosed with Depression ."
"kelcytrevino","I was diagnosed with anxiety and depression a month and a half ago and when shit gets tough I get tough on myself."
"CrissyMcMahan","@britneyandbaby thank u for these videos. I was just diagnosed with depression & anxiety and it's hard bc I have no one to really talk to."
"HornyForFashion","@chrisgraefser I do see a Doctor hun .. I was diagnosed with Anxiety Disorder and Depression ... I use to be ashamed but not anymore :)"
"rebornjobs","@obsoletegenius noooo. I was prescribed meds, got a new job & now don't need them. I was diagnosed with severe anxiety & depression ."
"morgan_ives2020","I was recently diagnosed with depression /anxiety. I'll be getting help and taking meds but I want to thank all my friends who r here for me"
"eazyjoseph","im 15 i was diagnosed with anxiety at 8 and depression at 10 and im still not putting up with it well enough, i am an insomniac as well +"
"HatingLifeTM","I was diagnosed with severe depression and anxiety at the age of 14. This is not for attention. I think it's healthier to be honest."
"OoSnazzyJazzyoO","@FunnyVideoGame Ever since i was diagnosed with depression and anxiety 4 years ago, video games have helped me live day to day"
"themarzipan","mental illness // wow it's been 6 years since I was diagnosed with anxiety and depression ."
"MichelleeLowee","Recently I was diagnosed with ADHD. When I was 17 I was diagnosed with depression and anxiety. #MentalHealthAwareness #dontgiveup pic.twitter.com/BiQ5aYrpQt"
"_Emmmeee_","I literally have no control over it. I was diagnosed with severe anxiety and depression at 19. I'm 25 now and it still plagues me often."
"AlternativeVic","@Fact this is true, I was always too picky with my food and I went through depression , I have anxiety and I was recently diagnosed with ADHD"
"killer_stella","@essrose I watched it during when I was just diagnosed with anxiety/ depression and it was exactly what I needed to see. So fucking good."
"marinara_sahara","@TeaFreak1 I was a somewhat healthy/active individual until I was diagnosed with anxiety/ depression from my birth control in high school"
"alexisrichard_","2 years ago today I was dangerously dehydrated, in a hospital, & diagnosed with anxiety & depression , so today I bought myself a little gift pic.twitter.com/nxYjmXodx4"
"thin_is_key","Names Cason and Im 16. I was diagnosed with Anorexia last year but also suffer depression , social anxiety and insomnia. Always here to talk pic.twitter.com/SDIPdAC63A"
"AphoniaSelfHelp","I was #diagnosed with #psychogenic #aphonia in 2011 when I totally lost my #voice due to #mentalhealth problems of #depression & #anxiety"
"frmjeju","When I was first diagnosed with depression and anxiety I'd lost lots of weight but now it's flipped and I weigh more than I ever have"
"MercedezUAZ","@ashtoochill I was diagnosed with anxiety and depression disorder 5 yrs ago and it is very common, I'm finding out"
"kcKilroy","In undergrad, before I was formally diagnosed with depression and anxiety, I went to talk to one of my literature/philosophy professors"
"Anonymouspug14","It's funny how I was diagnosed with social anxiety and depression before Trump won.."
"Luna_Vox","I was diagnosed with depression when I was 14, lived with it then got pregnant and had bad postpartum depression along with anxiety now."
"Melusi_MD","I was diagnosed with depression , anxiety and bulimia."
"TeamMurrJoeSalQ","I was diagnosed with depression , anxiety and ocd. Everyday was a struggle and add the bullying each day was hard to live through."
"CassidyBanksXO","So today I was officially diagnosed with depression / anxiety which I've had it for 3 years it just got severe all of a sudden"
"laurerss_","@NevSchulman 20 years old when I was diagnosed with Anxiety, Depression , and chronic panic attacks.... put my entire life on hold."
"rudetraveler","when i was diagnosed with with anxiety disorder and depression I don't think it was as bad as it is now"
"chloecannon17","This time last year I was diagnosed with severe depression and anxiety and every day I think I proud I am to of over come it"
"Sreed1991","A year ago today I was diagnosed with depression and severe anxiety. It's been a very long year of trying different meds, talking to -"
"dolansmain__","i was diagnosed with depression and i suffered for a year. it left me having anxiety attacks. i would collapse and not be able to breathe +"
"minebattlefield","A few days ago ( Friday more precisely) I was diagnosed with anxiety and depression ."
"LekBlog","I was diagnosed with depression and anxiety a little over a year ago now. I don't deal with it URL instagram.com/p/BMPw3vygOn6/"
"ryantenney","Fuck you, @MetLife for declining my long-term disability insurance b/c I was diagnosed with anxiety & depression 7 years ago"
"whateverbridg","what kind of mental illnesses do you live with?  i was diagnosed with anxiety and depression when i ... http:// curiouscat.me/whateverbridg/ post/38999447 "
"iRap4Food","1 year ago I was still dealing with my trash ass ex-boyfriend. I was underweight, diagnosed with anxiety and depression , had to take meds"
"ProsaicJaz","So I was diagnosed with Mild Depression , Anxiety, and BDD. I really messed myself up. Hopefully going to the therapist will work."
"Neko_eclipse","Around a few years ago, i was diagnosed with anxiety and over sensitivity disorder. I also had depression but i never told the doctors."
"_ItsBriiii_","And I was actually diagnosed with depression and anxiety. People don't understand how this can be"
"SuperSlayinn","I was diagnosed with depression and anxiety and thought having a man would fix that ..nope .It actually made it worse .I barely weigh 100lbs"
"SophieWarnes","When I was diagnosed with depression & anxiety, i was told to exercise more, but couldn't envision getting out of bed most days. Helpful(!) https:// twitter.com/IsabelHardman/ status/791992612265791489 "
"DanielJFalconer","@thismorning A few months ago I was diagnosed with anxiety and mild depression . Medication DOES help. I now feel great."
"Amatoriam","16. At a young age I was diagnosed with depression and severe anxiety, but I haven't been able to get my meds for 3-4 years bc no insurance"
"_EricaTatiana","@deisyyy08 have you gotten that checked? I was diagnosed with severe depression & anxiety"
"thepianonerd","i am CONSTANTLY working towards getting my shit together. Ever since I was TWELVE and I was first diagnosed with depression and anxiety...."
"alteanlance","@alteanlance a month or two later I was diagnosed with depression and anxiety me and my grandfather would sit together and just talk"
"silhouettestain","it's been nearly 5 years since I was first hospitalized (acute) and then diagnosed with depression /anxiety. five whole years"
"mansuttitroupe","i was diagnosed with social anxiety in sixth grade & depression in eighth. when i was 15 i was on suicide watch and u still think u know me?"
"pastelstarstuff","I JUST FOUND OUT I WAS DIAGNOSED WITH ANXIETY AND DEPRESSION WHEN I WAS 12 OKAY THEN"
"Julswilde","You would never know who suffers from sometimes almost debilitating anxiety. I was diagnosed with depression and... http:// fb.me/4MykdRMNK"
"BlumeKoalas","As a kid i was diagnosed with Reactive Hypoglycemia and it has been helping me with my hunger, sleep, depression , anxiety! #whatsyourreason"
"ratstrash","its been over 6 years since i was diagnosed with depression and anxiety disorder and there have been loads of difficulties in my journey"
"jadewritesbooks","I was diagnosed with anxiety and mild depression a month ago and Im managing with meds and treating myself as kindly as possible."
"sanna_alqadri","I was diagnosed with severe depression and moderate anxiety and i have been able to keep them under control for a very long time"
"MinaTheTerrible","I was diagnosed with clinical depression at 9 cos my entire family suffers from hereditary depression /anxiety. https:// twitter.com/adorakamalia/s tatus/788609904521179142 "
"CuteBobs","Ah, hm, I keep forgetting I was actually diagnosed with anxiety, not just depression"
"Anxiety_and_I","A&i friend writes  I was just recently diagnosed with anxiety and depression in August after my father passed... http:// fb.me/P2iFvBC3"
"stjllallen","then about a year passed and everything seemed to fall apart. last year i was diagnosed with depression and anxiety."
"_Pink_Bunn_","I was diagnosed with depression and anxiety at age 8, please stop pretending you have it, its not good"
"1a1unaa","last year I was diagnosed with depression , this year with anxiety, I wonder what will be next"
"SilentDabber17","I was diagnosed with depression and anxiety today. I always knew I had this problem, but hearing it from a Doctor is entirely different."
"TheHysminae","I admit that i have been through a phase in my life that i hate to recall , yep. i was diagnosed with depression and anxiety disorder."
"Augustmum","I was diagnosed with severe clinical anxiety and depression in July,I'm on new medication and awaiting therapy I feel guilty for my illness https:// twitter.com/heads_together /status/785560764283228160 "
"stargazingmota","diagnosed with severe depression and anxiety. I was on and off antidepressants and felt like no therapist really cared. this went on for so"
"ohkayewhatever","I was officially diagnosed with generalized anxiety disorder, chronic depression , and eating disorder not otherwise specified in 2009."
"loserlilmermaid","last year I was diagnosed with three different types of anxiety, depression , ADHD, and mood instability. I'm here to let anyone struggling"
"catsandsuch","""My personal experience with anxiety and depression has been rough"
